Fecha;Portafolio;ASSETCLASS;Numtit;Titulo; Nominal ; VPNOrigen ; VPNLocal 
28/02/2019;ACUAVALLE;BONOS FIJOS;787;BDVI317SF084; 300.000.000 ; 310.200.000 ; 310.200.000 
28/02/2019;ACUAVALLE;D PUB FIJA;788;BISA117SA007; 500.000.000 ; 506.830.000 ; 506.830.000 
28/02/2019;ACUAVALLE;LIQUIDEZ;789;FONDORDI; 227 ; 8.385.494 ; 8.385.494 
28/02/2019;ACUAVALLE;BONOS FIJOS;790;BCCB517SA006; 300.000.000 ; 299.703.000 ; 299.703.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;791;BCCB5179C013; 300.000.000 ; 295.887.000 ; 295.887.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;792;BDVI4179C084; 190.000.000 ; 193.486.500 ; 193.486.500 
28/02/2019;ACUAVALLE;D PUB FIJA;794;TFIT15260826; 1.500.000.000 ; 1.651.515.000 ; 1.651.515.000 
28/02/2019;ACUAVALLE;D PUB FIJA;795;TFIT16240724; 3.400.000.000 ; 4.219.842.000 ; 4.219.842.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;796;TUVT10100321; 9.180.000 ; 9.839.675 ; 2.581.214.339 
28/02/2019;ACUAVALLE;BONOS FIJOS;797;CDTFIJO; 270.000.000 ; 278.874.900 ; 278.874.900 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;798;CDTIPC; 300.000.000 ; 307.437.000 ; 307.437.000 
28/02/2019;ACUAVALLE;D PUB FIJA;799;TFIT16240724; 500.000.000 ; 620.565.000 ; 620.565.000 
28/02/2019;ACUAVALLE;BONOS FIJOS;800;CDTFIJO; 300.000.000 ; 308.817.000 ; 308.817.000 
28/02/2019;ACUAVALLE;D PUB FIJA;801;BISA117SA008; 400.000.000 ; 404.792.000 ; 404.792.000 
28/02/2019;ACUAVALLE;BONOS FIJOS;803;CDTFIJO; 400.000.000 ; 404.796.000 ; 404.796.000 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;804;TUVT27230223; 2.000.000 ; 2.181.940 ; 572.382.211 
28/02/2019;ACUAVALLE;BONOS FIJOS;805;CDTFIJO; 250.000.000 ; 254.342.500 ; 254.342.500 
28/02/2019;ACUAVALLE;D PUB INFLACIÓN;807;TUVT11170327; 1.500.000 ; 1.570.575 ; 412.004.542 
28/02/2019;ACUAVALLE;BONOS FIJOS;808;CDTFIJO; 200.000.000 ; 205.192.000 ; 205.192.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;811;BTPL1189C010; 400.000.000 ; 408.796.000 ; 408.796.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;812;BTPL1189C015; 200.000.000 ; 203.804.000 ; 203.804.000 
28/02/2019;ACUAVALLE;D PUB FIJA;813;TFIT16240724; 500.000.000 ; 620.565.000 ; 620.565.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;814;BDVI01169TC8; 200.000.000 ; 207.116.000 ; 207.116.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;815;BDVI5189C096; 400.000.000 ; 400.380.000 ; 400.380.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;816;BBSA5189C048; 400.000.000 ; 402.520.000 ; 402.520.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;818;BNBCX3189A36; 400.000.000 ; 396.468.000 ; 396.468.000 
28/02/2019;ACUAVALLE;D PUB FIJA;820;TFIT06110919; 250.000.000 ; 261.240.000 ; 261.240.000 
28/02/2019;ACUAVALLE;BONOS FIJOS;821;CDTFIJO; 300.000.000 ; 303.723.000 ; 303.723.000 
28/02/2019;ACUAVALLE;D PUB FIJA;822;TFIT16300632; 350.000.000 ; 365.085.000 ; 365.085.000 
28/02/2019;ACUAVALLE;BONOS INFLACIÓN;825;BDVI6199C120; 400.000.000 ; 399.604.000 ; 399.604.000 
28/02/2019;ACUAVALLE;D PUB FIJA;827;TFIT15240720; 650.000.000 ; 745.485.000 ; 745.485.000 
28/02/2019;FONPET2012;BONOS FIJOS;10;BLGC109SA10; 3.500.000.000 ; 3.855.740.000 ; 3.855.740.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;11;BEMG1099B12; 2.000.000.000 ; 2.186.880.000 ; 2.186.880.000 
28/02/2019;FONPET2012;D PUB FIJA;32;TFIT15260826; 500.000.000 ; 550.505.000 ; 550.505.000 
28/02/2019;FONPET2012;LIQUIDEZ;42;COHBBOG; 215.633.638.406 ; 215.633.638.406 ; 215.633.638.406 
28/02/2019;FONPET2012;D PUB FIJA;58;TFIT15260826; 499.950.900.000 ; 550.450.940.409 ; 550.450.940.409 
28/02/2019;FONPET2012;BONOS INFLACIÓN;87;CDTIPC; 9.450.000.000 ; 9.962.851.500 ; 9.962.851.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;88;CDTIPC; 700.000.000 ; 737.849.000 ; 737.849.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;108;CDTIPC; 1.050.000.000 ; 1.093.690.500 ; 1.093.690.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;116;CDTIPC366; 10.500.000.000 ; 11.013.975.000 ; 11.013.975.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;117;CDTIPC366; 1.750.000.000 ; 1.831.130.000 ; 1.831.130.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;118;CDTIPC366; 8.750.000.000 ; 9.148.037.500 ; 9.148.037.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;119;CDTIPC366; 7.000.000.000 ; 7.317.240.000 ; 7.317.240.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;183;CDTIPC366; 1.400.000.000 ; 1.472.632.000 ; 1.472.632.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;188;CDTIPC; 700.000.000 ; 752.682.000 ; 752.682.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;218;CDTIPC; 2.450.000.000 ; 2.590.336.000 ; 2.590.336.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;254;CDTIPC; 8.400.000.000 ; 8.836.968.000 ; 8.836.968.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;255;CDTIPC; 4.900.000.000 ; 5.181.554.000 ; 5.181.554.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;256;CDTIPC; 3.500.000.000 ; 3.699.780.000 ; 3.699.780.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;257;CDTIPC; 3.500.000.000 ; 3.694.040.000 ; 3.694.040.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;281;CDTIPC; 525.000.000 ; 551.738.250 ; 551.738.250 
